name,state_code,type,category,in_state_total,minority_enroll
Abilene Christian University,TX,Private,Asian,45200,0.010390783826519088
Abilene Christian University,TX,Private,Black,45200,0.08741811610571493
Abilene Christian University,TX,Private,Hispanic,45200,0.1314660040659589
Abilene Christian University,TX,Private,Non-Resident Foreign,45200,0.04178902191100068
Abilene Christian University,TX,Private,Two Or More Races,45200,0.04043370228145471
Adams State University,CO,Public,Asian,18222,0.011731135066582118
Adams State University,CO,Public,Black,18222,0.06055802155992391
Adams State University,CO,Public,Hispanic,18222,0.25745085605580215
Adams State University,CO,Public,Non-Resident Foreign,18222,0
Adams State University,CO,Public,Two Or More Races,18222,0.039949270767279645
Adelphi University,NY,Private,Asian,54690,0.07279894875164257
Adelphi University,NY,Private,Black,54690,0.1126149802890933
Adelphi University,NY,Private,Hispanic,54690,0.13232588699080158
Adelphi University,NY,Private,Non-Resident Foreign,54690,0.05729303547963206
Adelphi University,NY,Private,Two Or More Races,54690,0.020105124835742443
Adrian College,MI,Private,Asian,48405,0.006093845216331505
Adrian College,MI,Private,Black,48405,0.09323583180987204
Adrian College,MI,Private,Hispanic,48405,0.04875076173065204
Adrian College,MI,Private,Non-Resident Foreign,48405,6.093845216331506e-4
Adrian College,MI,Private,Two Or More Races,48405,0.03290676416819013
Alabama State University,AL,Public,Asian,16490,0.003623844899438304
Alabama State University,AL,Public,Black,16490,0.8969016126109802
Alabama State University,AL,Public,Hispanic,16490,0.012321072658090234
Alabama State University,AL,Public,Non-Resident Foreign,16490,0.023554991846348978
Alabama State University,AL,Public,Two Or More Races,16490,0.010146765718427252
Albany College of Pharmacy and Health Sciences,NY,Private,Asian,46025,0.14587332053742802
Albany College of Pharmacy and Health Sciences,NY,Private,Black,46025,0.037747920665387076
Albany College of Pharmacy and Health Sciences,NY,Private,Hispanic,46025,0.04030710172744722
Albany College of Pharmacy and Health Sciences,NY,Private,Non-Resident Foreign,46025,0.07549584133077415
Albany College of Pharmacy and Health Sciences,NY,Private,Two Or More Races,46025,0.010236724248240563
Albany State University,GA,Public,Asian,15604,0.002301790281329923
Albany State University,GA,Public,Black,15604,0.8823529411764706
Albany State University,GA,Public,Hispanic,15604,0.011508951406649617
Albany State University,GA,Public,Non-Resident Foreign,15604,0.0035805626598465474
Albany State University,GA,Public,Two Or More Races,15604,0.005626598465473146
Albertus Magnus College,CT,Private,Asian,45260,0.004516129032258065
Albertus Magnus College,CT,Private,Black,45260,0.33225806451612905
Albertus Magnus College,CT,Private,Hispanic,45260,0.14
Albertus Magnus College,CT,Private,Non-Resident Foreign,45260,0.0070967741935483875
Albertus Magnus College,CT,Private,Two Or More Races,45260,0.012903225806451613
Albion College,MI,Private,Asian,58155,0.018138801261829655
Albion College,MI,Private,Black,58155,0.03706624605678233
Albion College,MI,Private,Hispanic,58155,0.03627760252365931
Albion College,MI,Private,Non-Resident Foreign,58155,0.02917981072555205
Albion College,MI,Private,Two Or More Races,58155,0.026025236593059938
Albright College,PA,Private,Asian,57376,0.032177183451734225
Albright College,PA,Private,Black,57376,0.15628917676556622
Albright College,PA,Private,Hispanic,57376,0.0902632678646051
Albright College,PA,Private,Non-Resident Foreign,57376,0.022983702465524447
Albright College,PA,Private,Two Or More Races,57376,0.008775595486836606
Alcorn State University,MS,Public,Asian,16752,0.0027480076944215444
Alcorn State University,MS,Public,Black,16752,0.9304754053311349
Alcorn State University,MS,Public,Hispanic,16752,0.0032976092333058533
Alcorn State University,MS,Public,Non-Resident Foreign,16752,0.015938444627644956
Alcorn State University,MS,Public,Two Or More Races,16752,0.015663643858202802
Alfred University,NY,Private,Asian,46000,0.01904761904761905
Alfred University,NY,Private,Black,46000,0.08225108225108226
Alfred University,NY,Private,Hispanic,46000,0.07142857142857142
Alfred University,NY,Private,Non-Resident Foreign,46000,0.04069264069264069
Alfred University,NY,Private,Two Or More Races,46000,0.021645021645021644
Allegheny College,PA,Private,Asian,59680,0.022244191794364803
Allegheny College,PA,Private,Black,59680,0.04597132970835393
Allegheny College,PA,Private,Hispanic,59680,0.06277805239742956
Allegheny College,PA,Private,Non-Resident Foreign,59680,0.03806228373702422
Allegheny College,PA,Private,Two Or More Races,59680,0.04300543746910529
Alma College,MI,Private,Asian,51256,0.01504297994269341
Alma College,MI,Private,Black,51256,0.0329512893982808
Alma College,MI,Private,Hispanic,51256,0.036532951289398284
Alma College,MI,Private,Non-Resident Foreign,51256,0.01002865329512894
Alma College,MI,Private,Two Or More Races,51256,0.025787965616045846
Alvernia University,PA,Private,Asian,34885,0.00994172094617758
Alvernia University,PA,Private,Black,34885,0.12889955433664724
Alvernia University,PA,Private,Hispanic,34885,0.07027768255056564
Alvernia University,PA,Private,Non-Resident Foreign,34885,0.002742543709290367
Alvernia University,PA,Private,Two Or More Races,34885,0.013369900582790539
Alverno College,WI,Private,Asian,36848,0.04897446630389284
Alverno College,WI,Private,Black,36848,0.15864378401004606
Alverno College,WI,Private,Hispanic,36848,0.16785265801590624
Alverno College,WI,Private,Non-Resident Foreign,36848,0.01590623691921306
Alverno College,WI,Private,Two Or More Races,36848,0.027208036835496024
American International College,MA,Private,Asian,49980,0.015982364287682557
American International College,MA,Private,Black,49980,0.13529898043538166
American International College,MA,Private,Hispanic,49980,0.059520529071369524
American International College,MA,Private,Non-Resident Foreign,49980,0.0019289060347203086
American International College,MA,Private,Two Or More Races,49980,0.02700468448608432
Amherst College,MA,Private,Asian,71166,0.13058035714285715
Amherst College,MA,Private,Black,71166,0.12388392857142858
Amherst College,MA,Private,Hispanic,71166,0.13113839285714285
Amherst College,MA,Private,Non-Resident Foreign,71166,0.09598214285714286
Amherst College,MA,Private,Two Or More Races,71166,0.045200892857142856
Andrews University,MI,Private,Asian,38366,0.09215915740198946
Andrews University,MI,Private,Black,38366,0.20538326506729082
Andrews University,MI,Private,Hispanic,38366,0.1339964891749561
Andrews University,MI,Private,Non-Resident Foreign,38366,0.21269748390871854
Andrews University,MI,Private,Two Or More Races,38366,0.02077238150965477
Angelo State University,TX,Public,Asian,17619,0.011395133969818293
Angelo State University,TX,Public,Black,17619,0.08099784416384355
Angelo State University,TX,Public,Hispanic,17619,0.2885740683708038
Angelo State University,TX,Public,Non-Resident Foreign,17619,0.02817985833076686
Angelo State University,TX,Public,Two Or More Races,17619,0.02386818601786264
Anna Maria College,MA,Private,Asian,52490,0.014685314685314685
Anna Maria College,MA,Private,Black,52490,0.07342657342657342
Anna Maria College,MA,Private,Hispanic,52490,0.05524475524475524
Anna Maria College,MA,Private,Non-Resident Foreign,52490,0.004195804195804196
Anna Maria College,MA,Private,Two Or More Races,52490,0.016783216783216783
Appalachian State University,NC,Public,Asian,15518,0.014811938311328082
Appalachian State University,NC,Public,Black,15518,0.032397647842005994
Appalachian State University,NC,Public,Hispanic,15518,0.03894374791967158
Appalachian State University,NC,Public,Non-Resident Foreign,15518,0.011982691667591257
Appalachian State University,NC,Public,Two Or More Races,15518,0.024464662154665483
Arcadia University,PA,Private,Asian,57380,0.04595074892104595
Arcadia University,PA,Private,Black,57380,0.09164762630109165
Arcadia University,PA,Private,Hispanic,57380,0.0522975374460523
Arcadia University,PA,Private,Non-Resident Foreign,57380,0.023356181772023355
Arcadia University,PA,Private,Two Or More Races,57380,0.031226199543031227
Arizona State University,AZ,Public,Asian,23470,0.06329491255961844
Arizona State University,AZ,Public,Black,23470,0.035830683624801275
Arizona State University,AZ,Public,Hispanic,23470,0.1637321144674086
Arizona State University,AZ,Public,Non-Resident Foreign,23470,0.15806836248012718
Arizona State University,AZ,Public,Two Or More Races,23470,0.03507551669316375
Arkansas Tech University,AR,Public,Asian,16938,0.012831194800866523
Arkansas Tech University,AR,Public,Black,16938,0.07657057157140476
Arkansas Tech University,AR,Public,Hispanic,16938,0.06065655724045992
Arkansas Tech University,AR,Public,Non-Resident Foreign,16938,0.037410431594734214
Arkansas Tech University,AR,Public,Two Or More Races,16938,0.025745709048491917
Art Center College of Design,CA,Private,Asian,43416,0.32567237163814183
Art Center College of Design,CA,Private,Black,43416,0.012713936430317848
Art Center College of Design,CA,Private,Hispanic,43416,0.10562347188264058
Art Center College of Design,CA,Private,Non-Resident Foreign,43416,0.28361858190709044
Art Center College of Design,CA,Private,Two Or More Races,43416,0.040097799511002445
Asbury University,KY,Private,Asian,37358,0.007450771687067589
Asbury University,KY,Private,Black,37358,0.04896221394358701
Asbury University,KY,Private,Hispanic,37358,0.021287919105907396
Asbury University,KY,Private,Non-Resident Foreign,37358,0.015965939329430547
Asbury University,KY,Private,Two Or More Races,37358,0.05268759978712081
Ashland University,OH,Private,Asian,31283,0.006632277081798084
Ashland University,OH,Private,Black,31283,0.13411938098747236
Ashland University,OH,Private,Hispanic,31283,0.024871039056742816
Ashland University,OH,Private,Non-Resident Foreign,31283,0.03887251289609433
Ashland University,OH,Private,Two Or More Races,31283,0.013817243920412675
Assumption College,MA,Private,Asian,53652,0.02096358955498345
Assumption College,MA,Private,Black,53652,0.04928282456785583
Assumption College,MA,Private,Hispanic,53652,0.06583302684810592
Assumption College,MA,Private,Non-Resident Foreign,53652,0.01471129091577786
Assumption College,MA,Private,Two Or More Races,53652,0.01986024273630011
Auburn University,AL,Public,Asian,24608,0.02319388700216116
Auburn University,AL,Public,Black,24608,0.07278481012658228
Auburn University,AL,Public,Hispanic,24608,0.023116702686014203
Auburn University,AL,Public,Non-Resident Foreign,24608,0.0550710095708552
Auburn University,AL,Public,Two Or More Races,24608,0
Auburn University at Montgomery,AL,Public,Asian,17268,0.02056555269922879
Auburn University at Montgomery,AL,Public,Black,17268,0.32291872651769826
Auburn University at Montgomery,AL,Public,Hispanic,17268,0.007118845165117659
Auburn University at Montgomery,AL,Public,Non-Resident Foreign,17268,0.04528376507810955
Auburn University at Montgomery,AL,Public,Two Or More Races,17268,0.026893415068222265
Augusta University,GA,Public,Asian,20398,0.06259389083625438
Augusta University,GA,Public,Black,20398,0.21119178768152227
Augusta University,GA,Public,Hispanic,20398,0.04982473710565849
Augusta University,GA,Public,Non-Resident Foreign,20398,0.018903355032548825
Augusta University,GA,Public,Two Or More Races,20398,0.041061592388582875
Aurora University,IL,Private,Asian,35960,0.01907946498819827
Aurora University,IL,Private,Black,35960,0.08851298190401259
Aurora University,IL,Private,Hispanic,35960,0.18233674272226594
Aurora University,IL,Private,Non-Resident Foreign,35960,0.0017702596380802518
Aurora University,IL,Private,Two Or More Races,35960,0.01809598741148702
Austin College,TX,Private,Asian,52512,0.13835511145272866
Austin College,TX,Private,Black,52512,0.06610299769408147
Austin College,TX,Private,Hispanic,52512,0.19523443504996157
Austin College,TX,Private,Non-Resident Foreign,52512,0.026133743274404306
Austin College,TX,Private,Two Or More Races,52512,0.0030745580322828594
Austin Peay State University,TN,Public,Asian,19111,0.015527643160913856
Austin Peay State University,TN,Public,Black,19111,0.18811195727425575
Austin Peay State University,TN,Public,Hispanic,19111,0.05686875679952527
Austin Peay State University,TN,Public,Non-Resident Foreign,19111,0.004252793986747107
Austin Peay State University,TN,Public,Two Or More Races,19111,0.050835723469488676
Ave Maria University,FL,Private,Asian,32286,0.02682701202590194
Ave Maria University,FL,Private,Black,32286,0.05087881591119334
Ave Maria University,FL,Private,Hispanic,32286,0.16466234967622573
Ave Maria University,FL,Private,Non-Resident Foreign,32286,0.024051803885291396
Ave Maria University,FL,Private,Two Or More Races,32286,0
Avila University,MO,Private,Asian,27100,0.016255899318300997
Avila University,MO,Private,Black,27100,0.1882538017829051
Avila University,MO,Private,Hispanic,27100,0.06554798112218144
Avila University,MO,Private,Non-Resident Foreign,27100,0.10277923439958049
Avila University,MO,Private,Two Or More Races,27100,0.022548505506030415
Azusa Pacific University,CA,Private,Asian,48956,0.10158443642198155
Azusa Pacific University,CA,Private,Black,48956,0.057260328920978744
Azusa Pacific University,CA,Private,Hispanic,48956,0.24538708383473726
Azusa Pacific University,CA,Private,Non-Resident Foreign,48956,0.0293822703569996
Azusa Pacific University,CA,Private,Two Or More Races,48956,0.04402326514239872
Babson College,MA,Private,Asian,67416,0.0898655296818629
Babson College,MA,Private,Black,67416,0.03902918989832732
Babson College,MA,Private,Hispanic,67416,0.08002623811085602
Babson College,MA,Private,Non-Resident Foreign,67416,0.29977041653000985
Babson College,MA,Private,Two Or More Races,67416,0.019022630370613317
Baker University,KS,Private,Asian,38240,0.014541765302671627
Baker University,KS,Private,Black,38240,0.0950287453500169
Baker University,KS,Private,Hispanic,38240,0.04971254649983091
Baker University,KS,Private,Non-Resident Foreign,38240,0.008116334122421373
Baker University,KS,Private,Two Or More Races,38240,0.013189042948934731
Baldwin Wallace University,OH,Private,Asian,42140,0.014576526765518974
Baldwin Wallace University,OH,Private,Black,42140,0.08218145262628801
Baldwin Wallace University,OH,Private,Hispanic,42140,0.04749937170143252
Baldwin Wallace University,OH,Private,Non-Resident Foreign,42140,0.015079165619502387
Baldwin Wallace University,OH,Private,Two Or More Races,42140,0.034179442070872076
Ball State University,IN,Public,Asian,20130,0.010409101912369887
Ball State University,IN,Public,Black,20130,0.06671508109416606
Ball State University,IN,Public,Hispanic,20130,0.03350278382958122
Ball State University,IN,Public,Non-Resident Foreign,20130,0.03839264100702009
Ball State University,IN,Public,Two Or More Races,20130,0.01989832970225127
Baptist College of Health Sciences,TN,Private,Asian,17600,0.018803418803418803
Baptist College of Health Sciences,TN,Private,Black,17600,0.4247863247863248
Baptist College of Health Sciences,TN,Private,Hispanic,17600,0.019658119658119658
Baptist College of Health Sciences,TN,Private,Non-Resident Foreign,17600,0
Baptist College of Health Sciences,TN,Private,Two Or More Races,17600,0.002564102564102564
Bard College,NY,Private,Asian,70168,0.04657756176589713
Bard College,NY,Private,Black,70168,0.06156338598622924
Bard College,NY,Private,Hispanic,70168,0.012555690562980963
Bard College,NY,Private,Non-Resident Foreign,70168,0.11502632644795464
Bard College,NY,Private,Two Or More Races,70168,0
Barnard College,NY,Private,Asian,72257,0.14263505635445006
Barnard College,NY,Private,Black,72257,0.06529343179168286
Barnard College,NY,Private,Hispanic,72257,0.11115429459774583
Barnard College,NY,Private,Non-Resident Foreign,72257,0.07462106490478042
Barnard College,NY,Private,Two Or More Races,72257,0.051690633501748934
Barry University,FL,Private,Asian,40950,0.021366517961962903
Barry University,FL,Private,Black,40950,0.245362761211552
Barry University,FL,Private,Hispanic,40950,0.2385536510918056
Barry University,FL,Private,Non-Resident Foreign,40950,0.06691711669405964
Barry University,FL,Private,Two Or More Races,40950,0.010213665179619628
Barton College,NC,Private,Asian,41000,0.011594202898550725
Barton College,NC,Private,Black,41000,0.23671497584541062
Barton College,NC,Private,Hispanic,41000,0.05314009661835749
Barton College,NC,Private,Non-Resident Foreign,41000,0.028985507246376812
