name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_enrollment,category,enrollment,total_price,year,campus,net_cost,income_lvl,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Abilene Christian University,Texas,TX,Private,4 Year,10350,34850,45200,34850,45200,4427,Women,2562,30500,2008,On Campus,18544,"0 to 30,000",25,61500,110800,49,7
Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238,3154,Women,1728,15020,2008,On Campus,7507,"0 to 30,000",13,54200,97600,41,2
Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490,873,Women,867,40910,2008,On Campus,11339,"0 to 30,000",12,58300,99400,53,20
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818,5519,Women,3430,13404,2008,On Campus,7988,"0 to 30,000",24,48200,81700,60,17
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130,579,Women,384,35994,2008,On Campus,22508,"0 to 30,000",3,59700,102000,NA,1
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,10920,35105,46025,35105,46025,1563,Women,932,33554,2008,On Campus,21436,"0 to 30,000",15,80900,145800,72,2
Albertus Magnus College,Connecticut,CT,Private,4 Year,13200,32060,45260,32060,45260,1550,Women,1031,38036,2008,On Campus,26315,"0 to 30,000",18,63200,94900,52,2
Albion College,Michigan,MI,Private,4 Year,12380,45775,58155,45775,58155,1268,Women,631,38770,2008,On Campus,12784,"0 to 30,000",6,61600,125500,45,23
Alcorn State University,Mississippi,MS,Public,4 Year,9608,7144,16752,7144,16752,3639,Women,2395,15648,2008,On Campus,9748,"0 to 30,000",11,55300,76900,66,26
Allegheny College,Pennsylvania,PA,Private,4 Year,12140,47540,59680,47540,59680,2023,Women,1106,42500,2008,On Campus,30014,"0 to 30,000",22,60100,119000,45,31
Allen College,Iowa,IA,Private,4 Year,7282,19970,27252,19970,27252,575,Women,524,26061,2008,On Campus,20390,"0 to 30,000",14,63700,99300,NA,0
Alma College,Michigan,MI,Private,4 Year,10998,40258,51256,40258,51256,1396,Women,764,35230,2008,On Campus,14774,"0 to 30,000",9,59300,114700,53,20
Amherst College,Massachusetts,MA,Private,4 Year,14740,56426,71166,56426,71166,1792,Women,865,50230,2008,On Campus,3317,"0 to 30,000",12,76700,139700,43,42
Amridge University,Alabama,AL,Private,4 Year,NA,6900,6900,6900,6900,625,Women,372,16420,2008,Off Campus,16563,"0 to 30,000",22,49600,85500,NA,0
Andrews University,Michigan,MI,Private,4 Year,9078,29288,38366,29288,38366,3418,Women,1583,27670,2008,On Campus,13041,"0 to 30,000",21,58800,98500,52,10
Appalachian State University,North Carolina,NC,Public,4 Year,8304,7214,15518,22021,30325,18026,Women,9974,13693,2008,On Campus,5596,"0 to 30,000",12,58400,99800,48,8
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470,737,Women,331,25112,2008,On Campus,13586,"0 to 30,000",5,54800,87500,64,9
Arkansas State University,Arkansas,AR,Public,4 Year,8160,8608,16768,15298,23458,NA,NA,NA,NA,NA,NA,NA,NA,9,54500,93200,57,5
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718,12002,Women,6689,13170,2008,On Campus,7694,"0 to 30,000",15,55400,89000,58,8
Asbury University,Kentucky,KY,Private,4 Year,7160,30198,37358,30198,37358,1879,Women,1142,29888,2008,On Campus,16131,"0 to 30,000",20,48900,83700,61,6
Athens State University,Alabama,AL,Public,4 Year,NA,6810,6810,12870,12870,3128,Women,2046,NA,NA,NA,NA,NA,15,57100,89700,52,6
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856,25912,Women,12798,17966,2008,On Campus,8686,"0 to 30,000",2,67500,123300,50,32
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028,5057,Women,3233,14265,2008,On Campus,7952,"0 to 30,000",11,56400,94800,58,19
Augsburg University,Minnesota,MN,Private,4 Year,10280,38800,49080,38800,49080,NA,NA,NA,35934,2008,On Campus,15349,"0 to 30,000",13,62800,108500,55,8
Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436,7988,Women,4979,12446,2013,On Campus,5605,"0 to 30,000",16,55500,96800,71,12
Augustana College,Illinois,IL,Private,4 Year,10572,42135,52707,42135,52707,NA,NA,NA,39900,2008,On Campus,18431,"0 to 30,000",11,59200,121000,47,25
Augustana University,South Dakota,SD,Private,4 Year,8248,33018,41266,33018,41266,NA,NA,NA,30770,2008,On Campus,11694,"0 to 30,000",2,57600,109800,52,17
Austin Peay State University,Tennessee,TN,Public,4 Year,10700,8411,19111,24467,35167,10111,Women,6110,14946,2008,On Campus,8408,"0 to 30,000",18,54500,91300,60,8
Avila University,Missouri,MO,Private,4 Year,7200,19900,27100,19900,27100,1907,Women,1245,29650,2008,On Campus,10514,"0 to 30,000",20,54700,93300,66,9
Babson College,Massachusetts,MA,Private,4 Year,16312,51104,67416,51104,67416,3049,Women,1305,50866,2008,On Campus,14317,"0 to 30,000",2,88000,175200,47,3
Baker University,Kansas,KS,Private,4 Year,8410,29830,38240,29830,38240,2957,Women,1729,32045,2008,On Campus,20380,"0 to 30,000",10,58900,98900,60,3
Ball State University,Indiana,IN,Public,4 Year,10234,9896,20130,26468,36702,20655,Women,12538,18700,2008,On Campus,7904,"0 to 30,000",22,55900,96600,49,6
Barnard College,New York,NY,Private,4 Year,17225,55032,72257,55032,72257,2573,Women,2568,51976,2008,On Campus,6213,"0 to 30,000",13,74200,149300,53,21
