rank,name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
1,University of Alabama in Huntsville,Alabama,71000,127000,57,44
2,Auburn University,Alabama,67500,123300,50,32
3,Spring Hill College,Alabama,56900,123100,52,8
4,The University of Alabama,Alabama,65600,113100,50,17
5,Birmingham-Southern College,Alabama,64200,111600,40,22
6,Samford University,Alabama,60000,104600,58,2
7,Tuskegee University,Alabama,67700,101600,65,32
8,Herzing University-Birmingham,Alabama,59100,101100,NA,1
8,University of Alabama at Birmingham,Alabama,59400,101100,56,20
10,Alabama A&M University,Alabama,62800,98400,65,31
11,Auburn University at Montgomery,Alabama,56400,94800,58,19
12,University of South Alabama,Alabama,58400,94600,56,14
13,Jacksonville State University,Alabama,54100,94000,61,8
14,Troy University,Alabama,55000,92000,59,7
15,Athens State University,Alabama,57100,89700,52,6
16,Oakwood University,Alabama,55200,88300,73,21
17,Huntingdon College,Alabama,49200,87300,71,16
18,University of West Alabama,Alabama,54100,87000,60,2
18,Faulkner University,Alabama,48200,87000,61,1
20,University of North Alabama,Alabama,51400,86800,55,6
21,University of Montevallo,Alabama,47700,86200,51,6
22,University of Mobile,Alabama,49900,85500,74,4
22,Amridge University,Alabama,49600,85500,NA,0
24,Alabama State University,Alabama,48200,81700,60,17
25,Talladega College,Alabama,43000,79900,NA,21
1,University of Alaska Anchorage,Alaska,68600,117300,58,9
2,University of Alaska Fairbanks,Alaska,70000,115700,54,17
3,Alaska Pacific University,Alaska,59700,102000,NA,1
1,Embry-Riddle Aeronautical University-Prescott,Arizona,83400,146800,59,37
2,University of Arizona,Arizona,68300,119300,51,24
3,Arizona State University Campus Immersion,Arizona,66800,118000,52,27
4,Northern Arizona University,Arizona,61300,106700,56,13
5,Arizona Christian University,Arizona,54800,87500,64,9
6,Ottawa University-Phoenix,Arizona,51700,82700,61,20
7,Prescott College,Arizona,52500,71800,81,0
1,University of Arkansas,Arkansas,65200,114800,52,19
2,Hendrix College,Arkansas,56900,111000,64,28
3,Harding University,Arkansas,60700,104500,53,12
4,John Brown University,Arkansas,59800,98400,54,11
5,University of Central Arkansas,Arkansas,55000,96400,53,9
6,University of Arkansas at Monticello,Arkansas,54400,95800,64,2
7,University of Arkansas at Little Rock,Arkansas,57900,95500,56,14
8,Ouachita Baptist University,Arkansas,52500,94800,59,16
9,Arkansas State University,Arkansas,54500,93200,57,5
10,Lyon College,Arkansas,55400,92800,60,28
11,Henderson State University,Arkansas,52300,92100,56,5
12,University of Arkansas for Medical Sciences,Arkansas,62800,91200,92,3
13,University of the Ozarks,Arkansas,54200,89600,57,14
14,Southern Arkansas University Main Campus,Arkansas,50600,89500,58,15
15,Arkansas Tech University,Arkansas,55400,89000,58,8
16,University of Arkansas at Pine Bluff,Arkansas,52400,80800,58,17
17,University of Arkansas-Fort Smith,Arkansas,51000,79900,61,13
18,Philander Smith College,Arkansas,44200,78000,NA,21
19,Central Baptist College,Arkansas,42900,77400,NA,3
1,Harvey Mudd College,California,110400,179600,58,79
2,Stanford University,California,98900,177500,57,52
3,Santa Clara University,California,87300,173100,45,23
4,California Institute of Technology,California,105000,168600,50,98
5,Claremont McKenna College,California,86700,167000,53,22
5,University of California-Berkeley,California,88300,167000,49,43
7,California State University Maritime Academy,California,82600,156200,49,12
8,Samuel Merritt University,California,112400,152000,NA,0
9,University of California-San Diego,California,79200,151500,54,54
10,University of Southern California,California,80800,150100,47,25
11,California Polytechnic State University-San Luis Obispo,California,80500,148600,50,36
11,University of California-Santa Barbara,California,72700,148600,48,31
13,University of California-Irvine,California,74300,148400,51,37
14,Saint Mary's College of California,California,72000,144600,55,7
15,University of California-Los Angeles,California,76000,144400,50,34
16,Loyola Marymount University,California,72300,144000,40,10
17,University of California-Davis,California,76200,142700,52,36
18,Occidental College,California,69700,141100,50,22
19,University of San Diego,California,73000,139000,48,15
20,Pomona College,California,81600,138900,54,36
21,San Jose State University,California,79100,137200,53,26
22,Menlo College,California,75700,135000,49,0
23,California State Polytechnic University-Pomona,California,71100,133900,50,29
24,Westmont College,California,65700,133600,55,17
24,University of San Francisco,California,73600,133600,55,12
1,United States Air Force Academy,Colorado,88900,166100,63,42
2,Colorado School of Mines,Colorado,87800,165700,56,91
3,University of Colorado Boulder,Colorado,71500,136500,48,39
4,University of Denver,Colorado,69100,129700,46,13
5,Colorado College,Colorado,65700,121800,48,29
6,Colorado State University-Fort Collins,Colorado,65900,116300,51,29
7,University of Colorado Denver/Anschutz Medical Campus,Colorado,65300,115000,54,18
8,Regis University,Colorado,67200,112700,61,15
9,University of Colorado Colorado Springs,Colorado,63700,109600,56,23
10,Colorado State University Pueblo,Colorado,58500,103300,63,13
11,Metropolitan State University of Denver,Colorado,61400,102500,55,11
12,University of Northern Colorado,Colorado,58500,100700,57,8
13,Adams State University,Colorado,54200,97600,41,2
14,Fort Lewis College,Colorado,57600,95700,57,16
15,Western Colorado University,Colorado,59600,94600,60,17
16,Colorado Mesa University,Colorado,59000,92100,61,8
17,Colorado Christian University,Colorado,59000,86700,73,3
18,Nazarene Bible College,Colorado,46800,75100,NA,0
1,Yale University,Connecticut,89700,168300,51,27
2,Wesleyan University,Connecticut,77600,149200,42,20
3,United States Coast Guard Academy,Connecticut,91400,144900,NA,60
4,Fairfield University,Connecticut,76900,144800,37,13
5,Trinity College,Connecticut,74100,141600,52,22
6,University of Connecticut,Connecticut,73800,126000,46,27
7,Connecticut College,Connecticut,72100,125200,54,30
8,University of Hartford,Connecticut,67000,123300,53,12
9,Sacred Heart University,Connecticut,67800,118700,50,8
10,Quinnipiac University,Connecticut,69000,113100,46,12
11,University of New Haven,Connecticut,63100,112900,53,25
12,Central Connecticut State University,Connecticut,66600,109800,42,15
13,University of Bridgeport,Connecticut,60100,109100,53,9
14,University of Saint Joseph,Connecticut,66000,101200,74,8
15,Eastern Connecticut State University,Connecticut,61900,100600,42,11
16,Western Connecticut State University,Connecticut,63400,100500,48,8
17,Charter Oak State College,Connecticut,60500,98900,70,3
18,Albertus Magnus College,Connecticut,63200,94900,52,2
19,Southern Connecticut State University,Connecticut,60300,94600,49,8
1,University of Delaware,Delaware,71600,127600,46,24
2,Goldey-Beacom College,Delaware,61000,96700,40,0
3,Delaware State University,Delaware,55900,95000,60,14
4,Wilmington University,Delaware,58500,87200,50,13
5,Wesley College,Delaware,58500,84400,56,4
1,Polytechnic University of Puerto Rico-Miami,Florida,76200,136100,66,42
2,Embry-Riddle Aeronautical University-Daytona Beach,Florida,79700,129100,62,37
3,University of Florida,Florida,68300,123700,52,31
4,Florida Institute of Technology,Florida,72200,121500,48,41
5,University of Miami,Florida,70200,120000,48,22
6,Lynn University,Florida,55700,118800,45,4
7,Polytechnic University of Puerto Rico-Orlando,Florida,67600,116300,NA,47
8,The University of Tampa,Florida,60800,112400,49,16
9,Florida State University,Florida,62500,111900,48,17
10,University of South Florida,Florida,62000,110100,50,24
11,Stetson University,Florida,56800,109500,45,8
12,New College of Florida,Florida,54600,109000,46,0
13,Eckerd College,Florida,62500,108400,49,38
14,Embry-Riddle Aeronautical University-Worldwide,Florida,70100,107400,63,15
15,Jacksonville University,Florida,62100,107100,60,7
16,Florida International University,Florida,60600,106900,53,18
17,AdventHealth University,Florida,64200,106700,86,4
18,Florida Atlantic University,Florida,60500,106300,48,16
19,University of Central Florida,Florida,61600,105500,51,19
20,Rollins College,Florida,60400,103500,57,9
21,University of North Florida,Florida,59400,103300,49,13
22,Florida Gulf Coast University,Florida,58600,102600,57,11
23,Webber International University,Florida,56200,100900,NA,2
24,Florida Southern College,Florida,57500,100300,50,15
25,Nova Southeastern University,Florida,60600,99400,59,11
1,Georgia Institute of Technology-Main Campus,Georgia,89700,163500,47,77
2,Emory University,Georgia,78100,138600,48,23
3,University of Georgia,Georgia,68400,124800,43,16
4,Morehouse College,Georgia,68800,124200,56,24
5,Kennesaw State University,Georgia,65700,113800,50,28
6,Georgia State University,Georgia,63500,108800,48,20
7,University of North Georgia,Georgia,57700,108500,50,11
8,Oglethorpe University,Georgia,62700,106500,49,23
9,Georgia Southern University,Georgia,60600,103400,50,18
10,Savannah College of Art and Design,Georgia,59000,100800,36,2
11,Berry College,Georgia,54600,100500,36,20
12,Agnes Scott College,Georgia,58300,99400,53,20
13,Spelman College,Georgia,65400,98400,46,24
13,Mercer University,Georgia,61800,98400,62,16
15,University of West Georgia,Georgia,57500,98200,52,7
16,Augusta University,Georgia,55500,96800,71,12
17,Valdosta State University,Georgia,54500,96600,54,7
18,Piedmont University,Georgia,51600,95100,43,1
19,Columbus State University,Georgia,52100,93800,56,11
20,Georgia College & State University,Georgia,56500,93700,49,10
20,Covenant College,Georgia,56100,93700,65,20
22,Clark Atlanta University,Georgia,56600,93300,55,17
23,Clayton  State University,Georgia,58300,92300,54,8
24,LaGrange College,Georgia,51000,92000,58,7
25,Brenau University,Georgia,56400,90500,61,1
1,Brigham Young University-Hawaii,Hawaii,61700,112200,60,16
2,University of Hawaii at Manoa,Hawaii,63900,110800,59,19
3,Hawaii Pacific University,Hawaii,64600,106800,65,12
4,Chaminade University of Honolulu,Hawaii,54900,105500,61,3
5,University of Hawaii-West Oahu,Hawaii,52700,88800,55,0
6,University of Hawaii at Hilo,Hawaii,53900,83700,63,12
1,University of Idaho,Idaho,63700,118800,55,23
2,Brigham Young University-Idaho,Idaho,65200,115900,64,14
3,The College of Idaho,Idaho,55500,102400,49,18
4,Idaho State University,Idaho,60200,100800,69,10
5,Northwest Nazarene University,Idaho,57900,100700,72,11
6,Boise State University,Idaho,62300,99800,53,12
7,Lewis-Clark State College,Idaho,57300,82200,68,7
1,University of Chicago,Illinois,81600,150600,35,31
2,Illinois Institute of Technology,Illinois,79800,142900,51,60
3,Northwestern University,Illinois,78600,141300,43,22
4,University of Illinois Urbana-Champaign,Illinois,77600,139900,43,40
5,Wheaton College,Illinois,65900,127200,53,13
6,DePaul University,Illinois,68100,126700,44,16
7,Bradley University,Illinois,67500,123500,47,21
8,Lake Forest College,Illinois,66900,122700,42,19
9,Loyola University Chicago,Illinois,66400,121900,43,16
10,University of Illinois Chicago,Illinois,69800,121600,47,29
11,Augustana College,Illinois,59200,121000,47,25
12,North Central College,Illinois,60100,119500,42,13
12,Illinois Wesleyan University,Illinois,67800,119500,43,19
14,Principia College,Illinois,68100,116900,61,19
15,Northern Illinois University,Illinois,65200,115100,48,17
16,Illinois State University,Illinois,62000,112700,47,10
17,Saint Xavier University,Illinois,61000,111400,58,13
18,Rush University,Illinois,77100,110000,85,5
